Età,Sesso,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
75,Totale,2807,2898,2784,3083,2950,3144,3317,2957,3078,3005,3001,3182
76,Totale,2559,2733,2821,2714,2986,2871,3058,3240,2883,3002,2932,2921
77,Totale,2528,2495,2660,2740,2616,2900,2777,2966,3122,2794,2939,2861
78,Totale,2586,2429,2427,2564,2660,2529,2834,2683,2863,3026,2714,2851
79,Totale,2359,2483,2339,2328,2466,2550,2408,2733,2564,2762,2925,2631
80,Totale,2097,2252,2374,2242,2233,2383,2462,2305,2621,2452,2652,2817
81,Totale,1922,1994,2143,2244,2120,2120,2273,2343,2192,2484,2361,2542
82,Totale,1885,1802,1903,2042,2114,2018,2010,2159,2232,2088,2359,2241
83,Totale,1672,1752,1666,1773,1891,1974,1905,1870,2014,2094,1954,2203
84,Totale,1405,1541,1603,1549,1648,1747,1808,1796,1739,1867,1963,1798
85,Totale,1262,1266,1421,1448,1435,1513,1567,1653,1638,1612,1712,1786
86,Totale,1143,1148,1135,1287,1318,1312,1351,1424,1500,1492,1469,1550
87,Totale,985,1018,1029,1007,1158,1192,1173,1237,1256,1345,1323,1305
88,Totale,853,866,898,905,901,1003,1071,1038,1065,1119,1206,1169
89,Totale,827,746,750,771,803,777,855,944,889,920,974,1038
90,Totale,416,690,638,627,668,690,663,713,789,755,785,837
91,Totale,257,339,578,532,534,559,569,555,586,653,646,636
92,Totale,220,214,265,479,447,435,484,493,456,479,535,520
93,Totale,195,178,180,211,382,355,334,385,389,376,386,411
94,Totale,151,151,141,135,159,304,264,263,295,295,280,288
95,Totale,131,116,122,114,102,125,222,199,206,225,217,206
96,Totale,90,103,77,92,90,81,93,164,140,150,158,162
97,Totale,76,73,84,53,66,64,52,73,109,107,106,112
98,Totale,45,59,56,51,38,42,48,46,53,75,76,73
99,Totale,34,27,38,41,34,24,34,38,30,33,55,43
100 e oltre,Totale,39,50,52,59,57,56,44,54,57,55,53,57
Totale,Totale,392851,394520,395210,394565,393804,393704,392171,390570,388470,386530,384801,381091
