Età,Sesso,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
75,Totale,5049,4991,4855,5288,5368,5683,5773,5105,5177,5045,5184,5677
76,Totale,4629,4926,4852,4718,5149,5217,5532,5644,4951,5033,4928,5113
77,Totale,4349,4502,4774,4710,4569,5014,5053,5373,5500,4793,4906,4847
78,Totale,4278,4198,4340,4600,4562,4420,4860,4922,5170,5309,4643,4821
79,Totale,4336,4113,4053,4194,4408,4400,4240,4675,4713,4981,5142,4535
80,Totale,3752,4163,3945,3879,4012,4222,4204,4063,4487,4524,4793,4985
81,Totale,3421,3561,3958,3746,3710,3807,4012,4032,3861,4285,4346,4640
82,Totale,3109,3217,3376,3748,3539,3512,3580,3798,3824,3680,4071,4167
83,Totale,2844,2900,3005,3162,3503,3309,3292,3363,3583,3577,3473,3867
84,Totale,2633,2641,2689,2797,2953,3275,3094,3057,3130,3368,3357,3290
85,Totale,2303,2408,2417,2483,2561,2715,3009,2845,2806,2865,3100,3133
86,Totale,2081,2063,2171,2184,2263,2336,2471,2733,2594,2566,2636,2861
87,Totale,1878,1868,1849,1934,1979,2031,2108,2241,2457,2340,2333,2415
88,Totale,1553,1653,1671,1631,1710,1749,1785,1874,1982,2209,2044,2108
89,Totale,1345,1324,1433,1443,1418,1477,1512,1552,1625,1709,1937,1806
90,Totale,718,1151,1131,1213,1246,1225,1263,1302,1341,1397,1487,1698
91,Totale,491,612,984,934,1002,1061,1011,1054,1062,1166,1190,1255
92,Totale,396,416,490,780,778,835,869,857,872,882,981,967
93,Totale,380,324,345,395,614,626,679,688,673,712,711,797
94,Totale,307,307,264,266,305,473,486,537,560,535,561,555
95,Totale,271,248,240,191,201,247,360,364,396,416,390,427
96,Totale,182,205,204,182,139,154,183,263,264,300,315,285
97,Totale,134,134,160,136,126,103,107,139,193,191,212,221
98,Totale,92,91,83,121,102,94,64,82,99,140,136,146
99,Totale,58,68,66,60,94,65,62,48,59,79,96,91
100 e oltre,Totale,65,85,99,116,113,128,122,121,103,107,125,143
Totale,Totale,588860,588940,588744,586653,584796,582400,579310,576041,572436,568258,563995,561958
