Età,Sesso,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
75,Totale,403964,3344,3449,3648,3720,4021,3776,3445,3726,3581,4941,5421
76,Totale,403964,3464,3265,3356,3548,3634,3879,3681,3352,3623,4641,4829
77,Totale,403964,3144,3380,3151,3251,3442,3513,3759,3586,3244,4828,4515
78,Totale,403964,2970,3044,3253,3026,3133,3322,3399,3643,3469,4503,4699
79,Totale,403964,3026,2842,2937,3123,2925,3010,3188,3275,3502,4946,4357
80,Totale,403964,2960,2906,2713,2810,2993,2786,2890,3052,3143,4835,4737
81,Totale,403964,2621,2802,2770,2579,2686,2827,2667,2761,2892,4472,4663
82,Totale,403964,2366,2478,2635,2615,2420,2525,2667,2534,2628,4053,4255
83,Totale,403964,2348,2228,2332,2461,2463,2282,2388,2501,2362,3789,3812
84,Totale,403964,2064,2177,2077,2178,2290,2261,2121,2220,2320,3535,3524
85,Totale,403964,1744,1911,1992,1916,2000,2085,2083,1965,2037,3308,3226
86,Totale,403964,1505,1596,1733,1822,1752,1782,1894,1905,1787,2920,2979
87,Totale,403964,1435,1331,1415,1562,1646,1577,1598,1693,1712,2582,2612
88,Totale,403964,1337,1262,1163,1242,1392,1444,1380,1408,1509,2148,2292
89,Totale,403964,1059,1132,1093,1013,1070,1193,1265,1165,1222,2048,1851
90,Totale,403964,828,900,949,937,874,914,1039,1066,1007,1571,1747
91,Totale,403964,483,713,762,776,786,714,773,869,907,1362,1312
92,Totale,403964,312,403,577,639,656,657,594,636,706,1210,1117
93,Totale,403964,232,262,314,460,503,521,530,459,510,894,943
94,Totale,403964,228,196,191,246,350,374,424,402,376,703,698
95,Totale,403964,198,177,156,148,197,246,274,326,310,496,531
96,Totale,403964,130,163,120,112,118,143,182,193,241,392,376
97,Totale,403964,115,103,113,87,82,78,104,131,152,263,266
98,Totale,403964,62,86,77,80,67,51,58,67,91,192,188
99,Totale,403964,50,50,52,46,54,42,36,34,55,140,124
100 e oltre,Totale,403964,71,86,78,80,80,72,71,77,57,153,166
Totale,Totale,403964,404901,404888,403260,401494,399338,396312,393786,390740,387817,606904,602394
