Età,Sesso,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
75,Totale,10057,10066,9770,10512,10590,10731,11247,10199,10616,10087,10193,11645
76,Totale,9795,9773,9825,9554,10233,10324,10472,10951,9962,10333,9857,10060
77,Totale,9115,9548,9491,9585,9294,9925,10014,10203,10604,9691,10069,9709
78,Totale,9028,8815,9252,9193,9286,8989,9645,9727,9851,10282,9450,9848
79,Totale,8904,8719,8514,8896,8866,8978,8674,9332,9391,9514,9970,9286
80,Totale,7605,8517,8352,8163,8555,8527,8599,8360,8971,9027,9179,9698
81,Totale,7244,7242,8079,7944,7837,8135,8153,8211,7992,8581,8712,8857
82,Totale,6842,6864,6841,7648,7519,7422,7696,7769,7772,7565,8195,8368
83,Totale,6021,6419,6445,6420,7205,7082,6977,7268,7331,7366,7188,7801
84,Totale,5381,5589,5947,6006,5995,6707,6576,6535,6789,6823,6958,6810
85,Totale,4637,4943,5164,5517,5590,5604,6190,6085,6011,6289,6359,6501
86,Totale,4379,4245,4508,4715,5031,5092,5113,5610,5566,5513,5784,5910
87,Totale,3815,3988,3828,4068,4287,4551,4568,4640,5085,5063,5036,5262
88,Totale,3151,3372,3551,3427,3686,3835,4020,4097,4103,4592,4543,4530
89,Totale,2862,2770,2909,3105,3049,3236,3346,3590,3597,3594,4052,4019
90,Totale,1504,2499,2375,2497,2688,2610,2757,2890,3054,3133,3133,3525
91,Totale,1042,1282,2127,2032,2160,2253,2179,2370,2438,2622,2705,2671
92,Totale,973,874,1094,1744,1666,1771,1869,1838,1949,2030,2214,2217
93,Totale,861,811,698,856,1430,1374,1412,1558,1463,1606,1664,1841
94,Totale,806,681,640,568,672,1116,1075,1138,1227,1156,1269,1332
95,Totale,577,652,539,494,459,515,850,860,878,963,889,967
96,Totale,489,458,497,418,366,344,368,647,649,682,747,648
97,Totale,305,363,346,366,312,266,254,272,463,484,496,555
98,Totale,212,235,267,242,252,229,194,186,197,336,345,364
99,Totale,134,148,171,188,182,187,156,129,135,139,217,221
100 e oltre,Totale,166,205,244,271,303,313,306,310,297,317,279,313
Totale,Totale,1251412,1257549,1259733,1258054,1256495,1253461,1249699,1245190,1240589,1234997,1230205,1230158
